"","sub","trial","cond","ex","dist","max_dev","ave_dev","area"
"1",1,2,"Typical","Loewe",1063,85.1,6,46527
"2",1,3,"Typical","Kaninchen",1032.7,65.4,14.6,16242.5
"3",1,4,"Atypical","Seeloewe",1153.5,99.2,18.2,54516
"4",1,5,"Typical","Alligator",1049.8,64.3,20.7,32053.5
"5",1,6,"Atypical","Pinguin",1961.7,623.6,92.5,228192.9
"6",1,7,"Typical","Katze",1587.2,598.2,90.9,315863.5
"7",1,8,"Typical","Spatz",2118.3,880.8,165.5,550035.8
"8",1,9,"Typical","Chamaeleon",1266.9,210.8,28.4,153632.7
"9",1,10,"Typical","Pferd",1150.7,76.8,17.5,51609
"10",1,11,"Atypical","Schmetterling",1028.2,71.3,18,48131.5
"11",1,12,"Typical","Hai",1106,97.7,4.7,70573.3
"12",1,14,"Typical","Falke",1283.2,154.1,19.2,97678.9
"13",1,15,"Atypical","Wal",1026.2,84.5,8,44149.4
"14",1,16,"Atypical","Fledermaus",1039,162.9,8.2,85775.6
"15",1,17,"Typical","Lachs",1447.9,276.2,33.7,207243.5
"16",1,18,"Typical","Goldfisch",1246.3,237.5,31.7,162504.8
"17",1,19,"Typical","Hund",1058.3,66.8,12.3,33117.9
"18",2,1,"Typical","Katze",1032.1,96,17.2,50450.3
"19",2,2,"Atypical","Pinguin",1032.5,31.9,3.3,15579.6
"20",2,3,"Atypical","Schmetterling",2388.8,984.9,180.5,463585
"21",2,4,"Typical","Spatz",986.8,37.9,7.2,22885.6
"22",2,5,"Typical","Falke",1848.5,664.9,92.4,281493.7
"23",2,6,"Atypical","Aal",1173.9,38.1,2.5,21351
"24",2,7,"Typical","Hund",1215.8,17.7,2.2,9951.7
"25",2,8,"Typical","Klapperschlange",1097.8,78.5,5.8,49383.6
"26",2,9,"Atypical","Fledermaus",1055.4,64.9,14.3,13519.3
"27",2,10,"Typical","Goldfisch",1089.2,56.6,19,29887
"28",2,11,"Typical","Loewe",1077.5,26.9,2.2,11485.4
"29",2,12,"Typical","Hai",1161.2,34.6,1.8,16933.5
"30",2,13,"Typical","Kaninchen",1205,193.3,24.6,146548.5
"31",2,14,"Typical","Lachs",1051.4,17.5,1.1,7061.6
"32",2,15,"Typical","Pferd",1140.5,66,7.8,43830
"33",2,16,"Atypical","Wal",2327.8,1019,241.6,458158
"34",2,17,"Typical","Chamaeleon",1145.4,145,22.3,81827.6
"35",2,18,"Atypical","Seeloewe",2937.2,109.7,54,106392.1
"36",2,19,"Typical","Alligator",1122,91.8,17.5,46602.3
"37",3,1,"Typical","Spatz",2175,617.8,148.8,484707.9
"38",3,2,"Typical","Hund",1221.2,44.6,6.7,27802.6
"39",3,3,"Atypical","Wal",2839.9,605.8,103.4,125169
"40",3,4,"Typical","Pferd",1064.9,72.4,35,36334.4
"41",3,5,"Atypical","Schmetterling",1102.5,45.5,6.6,20281.8
"42",3,6,"Atypical","Fledermaus",2078.2,798.6,230.5,494752.5
"43",3,7,"Typical","Alligator",2571.7,972.3,257,414769.9
"44",3,8,"Typical","Falke",2601,878.1,251.4,401384.9
"45",3,9,"Typical","Chamaeleon",2161.2,792.5,136.5,456937.2
"46",3,10,"Typical","Kaninchen",1157.1,141.3,18.5,91712.5
"47",3,11,"Atypical","Pinguin",3118.4,686.6,94.4,223373.1
"48",3,12,"Typical","Katze",2069.7,849,188.3,499195.5
"49",3,13,"Typical","Loewe",1079.5,58.1,9.2,30900.9
"50",3,14,"Atypical","Seeloewe",5241.8,972.4,231.6,388665.9
"51",3,16,"Atypical","Aal",1121.1,126.1,33.5,72342.3
"52",3,17,"Typical","Lachs",1171.8,47,10.2,31908.9
"53",3,18,"Typical","Klapperschlange",1524.1,419.2,43.5,233116.8
"54",3,19,"Typical","Goldfisch",1128,72.7,16.5,55383.5
"55",4,1,"Typical","Katze",1150.2,131.6,47.5,96719
"56",4,2,"Atypical","Fledermaus",2915.1,865.9,248.4,178569.7
"57",4,3,"Typical","Kaninchen",1216.4,189.3,39.8,100422.7
